match_id,team1,team2,team1_score,team2_score,winner,status,event,tournament
542211,G2 Esports,Team Heretics,0,2,,Completed,Group Stage–Opening (D),Valorant  Champions 2025
542212,Dragon Ranger Gaming,T1,0,2,,Completed,Group Stage–Opening (D),Valorant  Champions 2025
542205,Team Liquid,DRX,0,2,,Completed,Group Stage–Opening (C),Valorant  Champions 2025
542207,NRG,EDward Gaming,2,0,,Completed,Group Stage–Opening (C),Valorant  Champions 2025
542196,GIANTX,Sentinels,2,1,,Completed,Group Stage–Opening (A),Valorant  Champions 2025
542195,Paper Rex,Xi Lai Gaming,2,0,,Completed,Group Stage–Opening (A),Valorant  Champions 2025
534750,Stellae Gaming GC,Não estamos aqui,2,0,,Completed,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals
524954,Akave Esports GC,MYVRA GC,3,0,,Completed,North–Grand Final,Game Changers 2025: LATAM Main Event
534749,Paintress,Corinthians Esports Inclusivo,0,2,,Completed,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals
534744,2Game Esports GC,Não estamos aqui,2,0,,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
534741,Team Liquid Brazil,Stellae Gaming GC,2,0,,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
524943,LEVIATÁN GC,KRÜ BLAZE,2,3,,Completed,South–Grand Final,Game Changers 2025: LATAM Main Event
535406,DNSTY,ULF Esports,1,3,,Completed,Playoffs–Grand Final,Challengers 2025: EMEA Stage 3
538772,EMPIRE :3,Tenax GC,2,0,,Completed,Swiss Stage–Round 6 (3-2 vs. 2-3),Game Changers 2025: North America Stage 2
538771,Blue Otter GC,YDZ Black,2,1,,Completed,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2
538773,Mak N Cheese,^-^,0,2,,Completed,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2
534742,Corinthians Esports Inclusivo,TBS Esports GC,0,2,,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
538769,100 Thieves GC,FlyQuest RED,2,1,,Completed,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2
538770,Ghost Gaming,Hakikimori GC,2,1,,Completed,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2
534743,MIBR GC,Paintress,2,0,,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
535405,ULF Esports,Mandatory,3,0,,Completed,Playoffs–Lower Final,Challengers 2025: EMEA Stage 3
543782,RED Canids,Team Solid,0,3,,Completed,Main Event–Grand Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
544548,Alliance Guardians,Burger Boyz,3,1,,Completed,Promotion/Relegation–Promotion Match,Challengers 2025: North America ACE Stage 3
544549,Team Slatt,SaD Esports,1,3,,Completed,Promotion/Relegation–Promotion Match,Challengers 2025: North America ACE Stage 3
532277,ShindeN,Six Karma,3,1,,Completed,Main Event–Decider,Challengers 2025: Latin America Finals
535404,DNSTY,ULF Esports,2,1,,Completed,Playoffs–Upper Final,Challengers 2025: EMEA Stage 3
535403,Mandatory,Twisted Minds,2,1,,Completed,Playoffs–Lower Round 1,Challengers 2025: EMEA Stage 3
521247,Motiv Esports,FULL SENSE,3,1,,Completed,Playoffs–Grand Final,Challengers 2025: Southeast Asia Split 3
538575,Titan Esports Club,JDG Esports,0,3,,Completed,Main Event–Grand Final,China Evolution Series: Act 3
543173,Shopify Rebellion Gold,Prosperity Esports,1,2,,Completed,Promotion/Relegation–Round 3,Challengers 2025: North America ACE Stage 3
532275,9z Team,ShindeN,3,1,,Completed,Main Event–Winner's,Challengers 2025: Latin America Finals
531690,Team Solid,Los Grandes,3,2,,Completed,Main Event–Lower Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
