match_id,team1_name,team2_name,team1_country,team2_country,team1_score,team2_score,team1_won,team2_won,winner,match_date,status,event,tournament
542211,G2 Esports,Team Heretics,us,eu,0,2,False,True,Team Heretics,2025-09-14 21:50:50.674784,Completed,Group Stage–Opening (D),Valorant  Champions 2025
542212,Dragon Ranger Gaming,T1,cn,kr,0,2,False,True,T1,2025-09-14 18:30:50.675782,Completed,Group Stage–Opening (D),Valorant  Champions 2025
542205,Team Liquid,DRX,eu,kr,0,2,False,True,DRX,2025-09-14 22:13:50.675782,Completed,Group Stage–Opening (C),Valorant  Champions 2025
542207,NRG,EDward Gaming,us,cn,2,0,True,False,NRG,2025-09-14 19:13:50.675782,Completed,Group Stage–Opening (C),Valorant  Champions 2025
542196,GIANTX,Sentinels,eu,us,2,1,True,False,GIANTX,2025-09-14 21:13:50.675782,Completed,Group Stage–Opening (A),Valorant  Champions 2025
542195,Paper Rex,Xi Lai Gaming,sg,cn,2,0,True,False,Paper Rex,2025-09-14 19:13:50.675782,Completed,Group Stage–Opening (A),Valorant  Champions 2025
534750,Stellae Gaming GC,Não estamos aqui,br,br,2,0,True,False,Stellae Gaming GC,2025-09-15 04:13:50.675782,Completed,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals
524954,Akave Esports GC,MYVRA GC,un,un,3,0,True,False,Akave Esports GC,2025-09-15 04:13:50.675782,Completed,North–Grand Final,Game Changers 2025: LATAM Main Event
534749,Paintress,Corinthians Esports Inclusivo,br,br,0,2,False,True,Corinthians Esports Inclusivo,2025-09-15 02:13:50.675782,Completed,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals
534744,2Game Esports GC,Não estamos aqui,br,br,2,0,True,False,2Game Esports GC,2025-09-15 04:13:50.675782,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
534741,Team Liquid Brazil,Stellae Gaming GC,br,br,2,0,True,False,Team Liquid Brazil,2025-09-15 02:13:50.675782,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
524943,LEVIATÁN GC,KRÜ BLAZE,cl,cl,2,3,False,True,KRÜ BLAZE,2025-09-15 01:13:50.675782,Completed,South–Grand Final,Game Changers 2025: LATAM Main Event
535406,DNSTY,ULF Esports,it,tr,1,3,False,True,ULF Esports,2025-09-14 21:13:50.675782,Completed,Playoffs–Grand Final,Challengers 2025: EMEA Stage 3
538772,EMPIRE :3,Tenax GC,us,us,2,0,True,False,EMPIRE :3,2025-09-15 06:13:50.675782,Completed,Swiss Stage–Round 6 (3-2 vs. 2-3),Game Changers 2025: North America Stage 2
538771,Blue Otter GC,YDZ Black,us,us,2,1,True,False,Blue Otter GC,2025-09-15 06:13:50.675782,Completed,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2
538773,Mak N Cheese,^-^,us,us,0,2,False,True,^-^,2025-09-15 06:13:50.675782,Completed,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2
534742,Corinthians Esports Inclusivo,TBS Esports GC,br,br,0,2,False,True,TBS Esports GC,2025-09-15 05:13:50.675782,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
538769,100 Thieves GC,FlyQuest RED,us,us,2,1,True,False,100 Thieves GC,2025-09-15 03:13:50.675782,Completed,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2
538770,Ghost Gaming,Hakikimori GC,us,us,2,1,True,False,Ghost Gaming,2025-09-15 03:13:50.675782,Completed,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2
534743,MIBR GC,Paintress,br,br,2,0,True,False,MIBR GC,2025-09-15 02:13:50.675782,Completed,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals
535405,ULF Esports,Mandatory,tr,fr,3,0,True,False,ULF Esports,2025-09-14 21:13:50.675782,Completed,Playoffs–Lower Final,Challengers 2025: EMEA Stage 3
543782,RED Canids,Team Solid,br,br,0,3,False,True,Team Solid,2025-09-15 13:13:50.675782,Completed,Main Event–Grand Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
