team,played,wins,losses,win_rate
BBL PCIFIC,63,0,0,0.0
Eternal Fire,58,0,0,0.0
Xi Lai Gaming,56,0,0,0.0
EDward Gaming,55,0,0,0.0
Sentinels,53,0,0,0.0
DRX,51,0,0,0.0
Paper Rex,49,0,0,0.0
G2 Esports,48,0,0,0.0
G2 Gozen,48,0,0,0.0
Galatasaray Esports,48,0,0,0.0
Gen.G,48,0,0,0.0
TSM,48,0,0,0.0
Bilibili Gaming,47,0,0,0.0
FULL SENSE,47,0,0,0.0
Wolves Esports,47,0,0,0.0
GIANTX GC,45,0,0,0.0
FNATIC,44,0,0,0.0
T1,43,0,0,0.0
Papara SuperMassive,42,0,0,0.0
Trace Esports,42,0,0,0.0
ULF Esports,42,0,0,0.0
Galakticos,41,0,0,0.0
Team Heretics,41,0,0,0.0
S2G Esports,40,0,0,0.0
FOKUS,39,0,0,0.0
Fenerbahçe Esports,39,0,0,0.0
NRG,39,0,0,0.0
E-Xolos LAZER,38,0,0,0.0
FUT Esports,38,0,0,0.0
Winthrop University,38,0,0,0.0
BBL Esports,37,0,0,0.0
MOUZ,37,0,0,0.0
Nova Esports,37,0,0,0.0
Shopify Rebellion Gold,37,0,0,0.0
Six Karma,37,0,0,0.0
YFP,37,0,0,0.0
BOOM Esports,36,0,0,0.0
KOI Fénix,36,0,0,0.0
Rex Regum Qeon,36,0,0,0.0
Team Liquid,36,0,0,0.0
MIBR GC,35,0,0,0.0
TALON,35,0,0,0.0
CGN Esports,34,0,0,0.0
DNSTY,34,0,0,0.0
FlyQuest RED,34,0,0,0.0
LEVIATÁN,34,0,0,0.0
Reckoning Esports,34,0,0,0.0
Titan Esports Club,34,0,0,0.0
İstanbul Wildcats,34,0,0,0.0
2Game Esports,33,0,0,0.0
Alter Ego,33,0,0,0.0
Blue Otter,33,0,0,0.0
KRÜ Esports,33,0,0,0.0
9z Team,32,0,0,0.0
Cloud9,32,0,0,0.0
Fire Flux Vatangame,32,0,0,0.0
NAOS,32,0,0,0.0
RIDDLE ORDER,32,0,0,0.0
SLT Seongnam,32,0,0,0.0
ShindeN,32,0,0,0.0
Dragon Ranger Gaming,31,0,0,0.0
Eintracht Frankfurt,31,0,0,0.0
Enterprise Esports,31,0,0,0.0
FunPlus Phoenix,31,0,0,0.0
HGE Esport,31,0,0,0.0
Mandatory,31,0,0,0.0
Nightblood Gaming,31,0,0,0.0
SaD Esports,31,0,0,0.0
FUSION,30,0,0,0.0
JDG Esports,30,0,0,0.0
M80,30,0,0,0.0
Nongshim RedForce,30,0,0,0.0
UCAM Esports Club,30,0,0,0.0
Falke Esports,29,0,0,0.0
MIBR,29,0,0,0.0
NOEZ FOXX,29,0,0,0.0
QoR,29,0,0,0.0
TYLOO,29,0,0,0.0
Zen eSports,29,0,0,0.0
100 Thieves,28,0,0,0.0
All Gamers,28,0,0,0.0
Barça eSports,28,0,0,0.0
Burger Boyz,28,0,0,0.0
FEARX,28,0,0,0.0
KPI Gaming,28,0,0,0.0
Karmine Corp,28,0,0,0.0
Karmine Corp GC,28,0,0,0.0
OXEN,28,0,0,0.0
Cubert Academy,27,0,0,0.0
LEVIATÁN Academy,27,0,0,0.0
Orangutan,27,0,0,0.0
ALTERNATE aTTaX,26,0,0,0.0
DetonatioN FocusMe,26,0,0,0.0
FENNEL,26,0,0,0.0
Joblife,26,0,0,0.0
NOVO Esports,26,0,0,0.0
Stellae Gaming,26,0,0,0.0
Team Valiant,26,0,0,0.0
Ambrosia,25,0,0,0.0
Chivas Esports,25,0,0,0.0
Natus Vincere,25,0,0,0.0
RED Canids,25,0,0,0.0
REJECT,25,0,0,0.0
Ramboot Club,25,0,0,0.0
Rebirth Esports,25,0,0,0.0
Team Liquid Academy,25,0,0,0.0
Team Vitality,25,0,0,0.0
CREST GAMING Zst,24,0,0,0.0
F4TALITY,24,0,0,0.0
GIANTX,24,0,0,0.0
HEROIC Valkyries,24,0,0,0.0
KRÜ BLAZE,24,0,0,0.0
SK Nebula,24,0,0,0.0
Team Falcons Vega,24,0,0,0.0
The Ultimates,24,0,0,0.0
YFP X,24,0,0,0.0
ZOL Esports,24,0,0,0.0
AB3 Esports,23,0,0,0.0
Apeks,23,0,0,0.0
Asterisk,23,0,0,0.0
Contra,23,0,0,0.0
Evil Geniuses,23,0,0,0.0
FURIA,23,0,0,0.0
Sharper Esport,23,0,0,0.0
SweetNsour,23,0,0,0.0
Team Liquid Brazil,23,0,0,0.0
Akave Esports GC,22,0,0,0.0
DRX Academy,22,0,0,0.0
ENVY,22,0,0,0.0
Global Esports,22,0,0,0.0
Los Grandes,22,0,0,0.0
NASR Ignite,22,0,0,0.0
Pixel Lumina,22,0,0,0.0
Shopify Rebellion Black,22,0,0,0.0
Suzaku Esports,22,0,0,0.0
T1 Academy,22,0,0,0.0
ZETA Gaming,22,0,0,0.0
ALTERNATE aTTaX Ruby,21,0,0,0.0
Corinthians Esports,21,0,0,0.0
Dplus Esports,21,0,0,0.0
KCORP Blue Stars,21,0,0,0.0
Las Cabras,21,0,0,0.0
MYVRA GC,21,0,0,0.0
Sengoku Gaming,21,0,0,0.0
XPERION NXT,21,0,0,0.0
Zerance Mint,21,0,0,0.0
Bitfix Gaming,20,0,0,0.0
Gen.G Global Academy,20,0,0,0.0
Gentle Mates,20,0,0,0.0
TBK Esports,20,0,0,0.0
Team Secret,20,0,0,0.0
Twisted Minds,20,0,0,0.0
Z11,20,0,0,0.0
ZETA DIVISION,20,0,0,0.0
Zero Tenacity,20,0,0,0.0
Agropesca Jacare,19,0,0,0.0
FUEGO,19,0,0,0.0
Galorys,19,0,0,0.0
LEVIATÁN GC,19,0,0,0.0
PEEK,19,0,0,0.0
RRQ Academy,19,0,0,0.0
TeamOrangeGaming,19,0,0,0.0
The MongolZ,19,0,0,0.0
děti ulice,19,0,0,0.0
FUSION X,18,0,0,0.0
Motiv Esports,18,0,0,0.0
Velocity Gaming,18,0,0,0.0
Wadadaa,18,0,0,0.0
Xipto Esports,18,0,0,0.0
Zen eSports GC,18,0,0,0.0
:3,17,0,0,0.0
BC SWELL,17,0,0,0.0
EXO Clan,17,0,0,0.0
Global Esports Academy,17,0,0,0.0
LOUD,17,0,0,0.0
Metizport,17,0,0,0.0
Murash Gaming,17,0,0,0.0
Siko Esports,17,0,0,0.0
Trust In Plug,17,0,0,0.0
University War GC,17,0,0,0.0
Corinthians Esports Inclusivo,16,0,0,0.0
Digital Athletics,16,0,0,0.0
Disguised,16,0,0,0.0
Fancy United Esports,16,0,0,0.0
Grêmio Esports,16,0,0,0.0
Permitta Unicorns,16,0,0,0.0
S8UL Esports,16,0,0,0.0
Xipto Esports GC,16,0,0,0.0
2Game Academy,15,0,0,0.0
BLVKHVND,15,0,0,0.0
Delight,15,0,0,0.0
E-KING,15,0,0,0.0
Formulation Gaming,15,0,0,0.0
Funhavers,15,0,0,0.0
Ghost Gaming,15,0,0,0.0
KOI,15,0,0,0.0
KTANA Esports,15,0,0,0.0
Made in Thailand,15,0,0,0.0
Melilla Titans,15,0,0,0.0
Nottingham Miedo,15,0,0,0.0
Revenant XSpark,15,0,0,0.0
SHERPA,15,0,0,0.0
TALON Academy,15,0,0,0.0
Team Secret Academy,15,0,0,0.0
ZETA DIVISION Academy,15,0,0,0.0
AlQadsiah Esports,14,0,0,0.0
DFM Academy,14,0,0,0.0
ESC Gaming,14,0,0,0.0
FURIA Academy,14,0,0,0.0
GoNext Esports,14,0,0,0.0
La Masia,14,0,0,0.0
Prosperity Esports,14,0,0,0.0
RETA Esports,14,0,0,0.0
RIZON,14,0,0,0.0
SAGAZ,14,0,0,0.0
TBS Esports GC,14,0,0,0.0
Team RA'AD,14,0,0,0.0
DimoniX eSports,13,0,0,0.0
Gamax Esports,13,0,0,0.0
Maryville University,13,0,0,0.0
Oblivion Force,13,0,0,0.0
SLTitans Esports,13,0,0,0.0
Szach Mat,13,0,0,0.0
Team Galaga,13,0,0,0.0
Teddy Tactics,13,0,0,0.0
VALIANT GC,13,0,0,0.0
ZETA DIVISION GC,13,0,0,0.0
2Game Esports GC,12,0,0,0.0
Contra GC,12,0,0,0.0
DUPG Esports,12,0,0,0.0
IGZIST,12,0,0,0.0
Landor,12,0,0,0.0
Lotus Knights,12,0,0,0.0
Mogo eSports,12,0,0,0.0
NXT,12,0,0,0.0
Oasis Gaming,12,0,0,0.0
THE 7,12,0,0,0.0
Teevee,12,0,0,0.0
True Rippers,12,0,0,0.0
All Knights,11,0,0,0.0
BOBO,11,0,0,0.0
Bigetron Arctic,11,0,0,0.0
CICADAS Gaming,11,0,0,0.0
DVM Esport,11,0,0,0.0
FENNEL GC,11,0,0,0.0
FN Pocheon,11,0,0,0.0
FOCUSGG,11,0,0,0.0
Full House,11,0,0,0.0
RANKERS,11,0,0,0.0
Team NKT,11,0,0,0.0
Ambitious Legend Gaming GC,10,0,0,0.0
Antares Esports,10,0,0,0.0
BOARS,10,0,0,0.0
CINTANEGRA Esports,10,0,0,0.0
GMBLERS Esports,10,0,0,0.0
Imperium Gaming,10,0,0,0.0
LOUD GC,10,0,0,0.0
Lilmix,10,0,0,0.0
PCIFIC Espor,10,0,0,0.0
Rapid Lofi,10,0,0,0.0
Team NKT Academy,10,0,0,0.0
Team Solid,10,0,0,0.0
XGOD,10,0,0,0.0
unsigned,10,0,0,0.0
Aussie and Friends,9,0,0,0.0
BAAM Esports,9,0,0,0.0
