id,teams,status,ago,event,tournament,img
542211,"[{'name': 'G2 Esports', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Team Heretics', 'score': '2', 'country': 'eu', 'won': True}]",Completed,15h 23m,Group Stage–Opening (D),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542212,"[{'name': 'Dragon Ranger Gaming', 'score': '0', 'country': 'cn', 'won': False}, {'name': 'T1', 'score': '2', 'country': 'kr', 'won': True}]",Completed,18h 43m,Group Stage–Opening (D),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542205,"[{'name': 'Team Liquid', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'DRX', 'score': '2', 'country': 'kr', 'won': True}]",Completed,1d 15h,Group Stage–Opening (C),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542207,"[{'name': 'NRG', 'score': '2', 'country': 'us', 'won': True}, {'name': 'EDward Gaming', 'score': '0', 'country': 'cn', 'won': False}]",Completed,1d 18h,Group Stage–Opening (C),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542196,"[{'name': 'GIANTX', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'Sentinels', 'score': '1', 'country': 'us', 'won': False}]",Completed,2d 16h,Group Stage–Opening (A),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542195,"[{'name': 'Paper Rex', 'score': '2', 'country': 'sg', 'won': True}, {'name': 'Xi Lai Gaming', 'score': '0', 'country': 'cn', 'won': False}]",Completed,2d 18h,Group Stage–Opening (A),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
534750,"[{'name': 'Stellae Gaming GC', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Não estamos aqui', 'score': '0', 'country': 'br', 'won': False}]",Completed,4d 9h,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
524954,"[{'name': 'Akave Esports GC', 'score': '3', 'country': 'un', 'won': True}, {'name': 'MYVRA GC', 'score': '0', 'country': 'un', 'won': False}]",Completed,4d 9h,North–Grand Final,Game Changers 2025: LATAM Main Event,https://owcdn.net/img/604be13d01964.png
534749,"[{'name': 'Paintress', 'score': '0', 'country': 'br', 'won': False}, {'name': 'Corinthians Esports Inclusivo', 'score': '2', 'country': 'br', 'won': True}]",Completed,4d 11h,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
534744,"[{'name': '2Game Esports GC', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Não estamos aqui', 'score': '0', 'country': 'br', 'won': False}]",Completed,5d 9h,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
