event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
2283,Valorant  Champions 2025,ongoing,2250000.0,Sep 12 Oct 5,fr,https://owcdn.net/img/63067806d167d.png
2590,China Evolution Series: Act 3,completed,0.0,Aug 28 Sep 7,cn,https://owcdn.net/img/67a5eb9b2ccea.png
2501,VCT 2025: Americas Stage 2,completed,250000.0,Jul 18 Sep 1,us,https://owcdn.net/img/640f5ab71dfbb.png
2498,VCT 2025: EMEA Stage 2,completed,250000.0,Jul 16 Aug 31,de,https://owcdn.net/img/65ab59620a233.png
2500,VCT 2025: Pacific Stage 2,completed,250000.0,Jul 15 Aug 31,kr,https://owcdn.net/img/640f5ae002674.png
2499,VCT 2025: China Stage 2,completed,,Jul 3 Aug 24,cn,https://owcdn.net/img/65dd97cea9a25.png
2282,Valorant Masters Toronto 2025,completed,1000000.0,Jun 7 22,ca,https://owcdn.net/img/603bfd7bf3f54.png
2380,VCT 2025: EMEA Stage 1,completed,,Mar 26 May 18,de,https://owcdn.net/img/65ab59620a233.png
2379,VCT 2025: Pacific Stage 1,completed,,Mar 21 May 11,kr,https://owcdn.net/img/640f5ae002674.png
2450,China Evolution Series: Act 2 X Asian Champions League,completed,0.0,May 8 10,cn,https://owcdn.net/img/67a5eb9b2ccea.png
2359,VCT 2025: China Stage 1,completed,0.0,Mar 13 May 4,cn,https://owcdn.net/img/65dd97cea9a25.png
2347,VCT 2025: Americas Stage 1,completed,,Mar 21 May 4,us,https://owcdn.net/img/640f5ab71dfbb.png
2281,Valorant Masters Bangkok 2025,completed,500000.0,Feb 20 Mar 2,th,https://owcdn.net/img/603bfd7bf3f54.png
2339,China Evolution Series: Act 1,completed,0.0,Feb 8 16,cn,https://owcdn.net/img/67a5eb9b2ccea.png
2276,VCT 2025: EMEA Kickoff,completed,0.0,Jan 14 Feb 10,de,https://owcdn.net/img/65ab59620a233.png
2277,VCT 2025: Pacific Kickoff,completed,250000.0,Jan 17 Feb 9,kr,https://owcdn.net/img/640f5ae002674.png
2274,VCT 2025: Americas Kickoff,completed,0.0,Jan 16 Feb 8,us,https://owcdn.net/img/640f5ab71dfbb.png
2275,VCT 2025: China Kickoff,completed,,Jan 10 25,cn,https://owcdn.net/img/65dd97cea9a25.png
2097,Valorant Champions 2024,completed,2250000.0,Aug 1 25,kr,https://owcdn.net/img/63067806d167d.png
2095,Champions Tour 2024: Americas Stage 2,completed,250000.0,Jun 22 Jul 21,us,https://owcdn.net/img/640f5ab71dfbb.png
2096,Champions Tour 2024: China Stage 2,completed,,Jun 15 Jul 21,cn,https://owcdn.net/img/65dd97cea9a25.png
2005,Champions Tour 2024: Pacific Stage 2,completed,250000.0,Jun 14 Jul 21,kr,https://owcdn.net/img/640f5ae002674.png
2094,Champions Tour 2024: EMEA Stage 2,completed,250000.0,Jun 18 Jul 19,de,https://owcdn.net/img/65ab59620a233.png
1999,Champions Tour 2024: Masters Shanghai,completed,1000000.0,May 23 Jun 9,cn,https://owcdn.net/img/603bfd7bf3f54.png
2006,Champions Tour 2024: China Stage 1,completed,0.0,Apr 5 May 12,cn,https://owcdn.net/img/65dd97cea9a25.png
2004,Champions Tour 2024: Americas Stage 1,completed,0.0,Apr 6 May 12,us,https://owcdn.net/img/640f5ab71dfbb.png
1998,Champions Tour 2024: EMEA Stage 1,completed,0.0,Apr 3 May 12,de,https://owcdn.net/img/65ab59620a233.png
2002,Champions Tour 2024: Pacific Stage 1,completed,0.0,Apr 5 May 12,kr,https://owcdn.net/img/640f5ae002674.png
1921,Champions Tour 2024: Masters Madrid,completed,500000.0,Mar 14 24,es,https://owcdn.net/img/603bfd7bf3f54.png
1923,Champions Tour 2024: Americas Kickoff,completed,0.0,Feb 16 Mar 3,us,https://owcdn.net/img/640f5ab71dfbb.png
1926,Champions Tour 2024: China Kickoff,completed,0.0,Feb 22 Mar 2,cn,https://owcdn.net/img/65dd97cea9a25.png
1925,Champions Tour 2024: EMEA Kickoff,completed,0.0,Feb 20 Mar 1,de,https://owcdn.net/img/65ab59620a233.png
1924,Champions Tour 2024: Pacific Kickoff,completed,0.0,Feb 16 25,kr,https://owcdn.net/img/640f5ae002674.png
1880,China Evolution Series Act 3: Heritability,completed,40988.0,Nov 2 26,cn,https://owcdn.net/img/64e8c485bda72.png
1825,China Evolution Series Act 2: Selection,completed,41671.0,Oct 5 29,cn,https://owcdn.net/img/64e8c485bda72.png
1747,China Evolution Series Act 1: Variation,completed,40941.0,Sep 7 Oct 1,cn,https://owcdn.net/img/64e8c485bda72.png
1657,Valorant Champions 2023,completed,2250000.0,Aug 6 26,us,https://owcdn.net/img/63067806d167d.png
1658,Champions Tour 2023: Americas Last Chance Qualifier,completed,,Jul 15 23,us,https://owcdn.net/img/640f5ab71dfbb.png
1659,Champions Tour 2023: EMEA Last Chance Qualifier,completed,,Jul 19 23,eu,https://owcdn.net/img/640f5accac10a.png
1660,Champions Tour 2023: Pacific Last Chance Qualifier,completed,,Jul 18 23,kr,https://owcdn.net/img/640f5ae002674.png
1664,Champions Tour 2023: Champions China Qualifier,completed,0.0,Jun 1 Jul 16,cn,https://owcdn.net/img/6471ec20539e2.png
1494,Champions Tour 2023: Masters Tokyo,completed,1000000.0,Jun 10 25,jp,https://owcdn.net/img/603bfd7bf3f54.png
1189,Champions Tour 2023: Americas League,completed,250000.0,Apr 1 May 28,us,https://owcdn.net/img/640f5ab71dfbb.png
1190,Champions Tour 2023: EMEA League,completed,250000.0,Mar 27 May 28,de,https://owcdn.net/img/640f5accac10a.png
